ID_SAEB,ID_REGIAO,ID_UF,ID_MUNICIPIO,ID_AREA,ID_ESCOLA,IN_PUBLICA,ID_LOCALIZACAO,ID_TURMA,ID_SERIE,ID_ALUNO,IN_SITUACAO_CENSO,IN_PREENCHIMENTO_LP,IN_PREENCHIMENTO_MT,IN_PRESENCA_LP,IN_PRESENCA_MT,ID_CADERNO_LP,ID_BLOCO_1_LP,ID_BLOCO_2_LP,NU_BLOCO_1_ABERTA_LP,NU_BLOCO_2_ABERTA_LP,ID_CADERNO_MT,ID_BLOCO_1_MT,ID_BLOCO_2_MT,NU_BLOCO_1_ABERTA_MT,NU_BLOCO_2_ABERTA_MT,TX_RESP_BLOCO1_LP,TX_RESP_BLOCO2_LP,CO_CONCEITO_Q1_LP,CO_CONCEITO_Q2_LP,CO_RESPOSTA_TEXTO,CO_CONCEITO_PROPOSITO,CO_CONCEITO_ELEMENTO,CO_CONCEITO_SEGMENTACAO,CO_TEXTO_GRAFIA,TX_RESP_BLOCO1_MT,TX_RESP_BLOCO2_MT,CO_CONCEITO_Q1_MT,CO_CONCEITO_Q2_MT,IN_PROFICIENCIA_LP,IN_PROFICIENCIA_MT,IN_AMOSTRA,ESTRATO,PESO_ALUNO_LP,PROFICIENCIA_LP,ERRO_PADRAO_LP,PROFICIENCIA_LP_SAEB,ERRO_PADRAO_LP_SAEB,PESO_ALUNO_MT,PROFICIENCIA_MT,ERRO_PADRAO_MT,PROFICIENCIA_MT_SAEB,ERRO_PADRAO_MT_SAEB
2021,2,26,6318095,2,61392129,1,1,1252381,2,48931946,1,1,1,1,1,3,3,4,3,4,3,3,4,3,4,CDCBCDBD,BCDBDDBD,A,C,BR,.,.,.,.,BBA......,.........,.,.,1,1,1,26212,1.541538461500000,-0.005457,0.425749,747.920528,23.589189,1.522796352600000,-2.657416,0.519766,598.417891,29.3822
2021,2,24,6317763,1,61373127,1,1,1260516,2,49020514,1,0,1,0,1,8,1,3,1,3,8,1,3,1,3,........,........,D,D,BR,.,.,.,.,CDDDDDBCC,CBCDDAAB.,.,.,0,1,0,240810211,,,,,,1.492449853500000,-1.287859,0.450623,675.838482,25.473569
2021,2,28,6318354,1,61373201,0,1,1403307,2,48963604,1,1,1,1,1,8,1,3,1,3,8,1,3,1,3,BAACDDBC,CDCBCDCA,A,B,TX,A,A2,B,A,DCCBDBDCC,CBCDADDCA,21,21,1,1,1,28411,287.090909090000000,0.111095,0.405277,754.37826,22.45491,287.090909090000000,0.797299,0.475399,793.711777,26.874148
2021,1,16,6316903,1,61377581,1,2,1332032,2,49006999,1,1,1,1,1,16,2,5,2,5,16,2,5,2,5,AACDDBBD,BCBABAAD,A,A,TX,A,A2,B,A,CCDBBCCCB,ABBCDDBBA,23,21,1,1,1,16221,12.393939394000000,0.238822,0.354358,761.455092,19.633676,12.718494272000000,0.108692,0.409343,754.785092,23.140024
2021,2,27,6318299,2,61356405,0,1,1427115,2,48935132,1,1,1,1,1,8,1,3,1,3,8,1,3,1,3,BAACDBBC,CDCBCBAA,A,A,TX,A,B,A,A,DCABDBDAC,CBCCDACCC,11,21,1,1,1,27412,88.431877187000000,0.42898,0.453147,771.991058,25.107211,84.886553256000000,-0.299146,0.403959,731.730113,22.835669
2021,5,51,6321835,2,61382024,1,2,1252605,2,49139868,1,0,0,0,0,9,2,4,2,4,9,2,4,2,4,........,........,D,D,BR,.,.,.,.,.........,.........,.,.,0,0,1,51222,,,,,,,,,,
2021,4,43,6321217,2,61349550,1,1,1292253,2,49061443,1,0,0,0,0,6,6,7,6,7,6,6,7,6,7,........,........,D,D,BR,.,.,.,.,.........,.........,.,.,0,0,1,43312,,,,,,,,,,
2021,5,51,6321819,1,61366945,1,1,1300402,2,49121496,1,1,1,1,1,18,4,7,4,7,18,4,7,4,7,BCDBDBAA,BACCBABA,C,C,NL,*,*,*,*,AACACCDBB,CCBAADACC,0,2,1,1,1,51311,27.864435808000000,-1.337281,0.294211,674.129058,16.301151,29.076849051000000,0.57428,0.411339,781.10462,23.252857
2021,2,24,6317762,2,61391960,1,1,1323986,2,49009351,1,0,0,0,0,17,3,6,3,6,17,3,6,3,6,........,........,D,D,BR,.,.,.,.,.........,.........,.,.,0,0,1,24212,,,,,,,,,,
2021,2,27,6318296,1,61360400,1,1,1339766,2,48934995,1,1,1,1,1,19,5,1,5,1,19,5,1,5,1,BABDCDBD,BAACBABC,C,C,NL,*,*,*,*,BBCADBDBC,DCBCDDACC,11,21,1,1,1,27311,47.135856380000000,-1.513935,0.365951,664.341292,20.276001,47.124423963000000,-0.654633,0.42839,711.634533,24.216745
2021,1,12,6316666,1,61328365,1,1,1268397,2,48961312,1,1,1,1,1,21,7,3,7,3,21,7,3,7,3,BACAAAAA,BDCAAAAA,B,C,NL,*,*,*,*,CCBAACAAA,CBCADBDAB,0,11,1,1,1,12211,46.491307147000000,-1.472416,0.272108,666.64168,15.076505,51.248787413000000,-0.79251,0.388628,703.840396,21.969012
2021,1,15,6316783,2,61359611,1,1,1395409,2,48986342,1,1,1,1,1,12,5,7,5,7,12,5,7,5,7,BCBCBCDD,BACCCDCD,A,B,TX,A,A2,A,A,ABBCDCDBA,CCBABBCCC,11,0,1,1,1,15312,846.626691620000000,1.150812,0.495859,811.985117,27.473726,767.488703600000000,0.150826,0.412382,757.166858,23.311818
2021,3,35,6320423,2,61351866,1,2,1467317,2,49231163,1,1,1,1,1,5,5,6,5,6,5,5,6,5,6,BCBABBAB,CCAACDAB,B,A,NL,*,*,*,*,ABBDCDBCA,DACDCCDAC,0,2,1,1,1,35322,22.647834275000000,-0.401336,0.339284,725.986337,18.798481,23.053035144000000,-1.17034,0.430422,682.481791,24.331613
2021,2,21,6317235,1,61334835,1,1,1260368,2,48898507,1,0,1,0,1,6,6,7,6,7,6,6,7,6,7,........,........,D,D,BR,.,.,.,.,DAABA.DAA,ACAADAAAA,0,0,0,1,1,21311,,,,,,102.494966440000000,-1.576607,0.479741,659.515649,27.1196
2021,5,50,6321754,2,61344424,1,1,1292247,2,49058589,1,1,1,1,1,16,2,5,2,5,16,2,5,2,5,AACAABAA,BCBAAAAA,A,B,NL,*,*,*,*,CBDBACAAC,DBBCCCABA,23,21,1,1,1,50212,6.760000000000000,-1.035032,0.287408,690.875541,15.924222,6.259259259300000,0.029957,0.486533,750.334178,27.503549
2021,2,22,6317343,2,61396774,1,1,1268346,2,48914145,1,1,1,1,1,2,2,3,2,3,2,2,3,2,3,AACAADDA,ADBBCDAB,D,C,NL,*,*,*,*,*CDDCACCC,CBCDDBBCA,23,12,1,1,1,22312,395.755848350000000,-1.620206,0.35206,658.45322,19.506352,421.602979090000000,-0.418393,0.402491,724.989115,22.752683
2021,2,25,6317937,1,61378256,0,1,1260396,2,48923379,1,1,1,1,1,18,4,7,4,7,18,4,7,4,7,BCDBCDBD,BACDCDCD,A,A,TX,A,A2,A,A,AACACCDBB,CCAADDCCB,0,2,1,1,1,25411,19.264550265000000,0.989845,0.498138,803.066521,27.599997,27.002373183000000,0.190007,0.399496,759.381801,22.583377
2021,3,32,6319773,2,61367120,0,1,1268674,2,49215126,1,0,0,0,0,12,5,7,5,7,12,5,7,5,7,........,........,D,D,BR,.,.,.,.,.........,.........,.,.,0,0,1,32412,,,,,,,,,,
2021,1,11,6316635,2,61373308,1,2,1355593,2,48955739,1,1,1,1,1,19,5,1,5,1,19,5,1,5,1,AAAAAAAA,AAAAAAAA,D,D,NL,*,*,*,*,BCBDDADBC,DADCCCACB,.,.,1,1,1,11322,40.579519880000000,-2.357684,0.419964,617.592273,23.268663,40.716974031000000,-1.729447,0.520309,650.875648,29.412895
2021,2,22,6317482,1,61371438,1,1,1363625,2,49016935,1,1,1,1,1,12,5,7,5,7,12,5,7,5,7,BCBABBBB,BACABABB,B,B,TX,A,B,B,B,ABBCBCBBA,CCBACCBBA,11,0,1,1,1,22311,63.001963146000000,-1.011969,0.266468,692.153389,14.764013,64.654899267000000,-0.607666,0.413251,714.289607,23.360942
2021,2,28,6318354,1,61378694,1,1,1252424,2,48970224,1,0,0,0,0,14,7,2,7,2,14,7,2,7,2,........,........,D,D,BR,.,.,.,.,.........,.........,.,.,0,0,1,28211,,,,,,,,,,
